CD1, CD2, CD12, DESCRIPTION1, DESCRIPTION2, DESCRIPTION3
F015,0,F0150,"Vascular dementia without behavioral disturbance","Vascular dementia without behavioral disturbance","Vascular dementia"
F015,1,F0151,"Vascular dementia with behavioral disturbance","Vascular dementia with behavioral disturbance","Vascular dementia"
F028,0,F0280,"Dementia in oth diseases classd elswhr w/o behavrl disturb","Dementia in other diseases classified elsewhere without behavioral disturbance","Dementia in other diseases classified elsewhere"
F028,1,F0281,"Dementia in oth diseases classd elswhr w behavioral disturb","Dementia in other diseases classified elsewhere with behavioral disturbance","Dementia in other diseases classified elsewhere"
F039,0,F0390,"Unspecified dementia without behavioral disturbance","Unspecified dementia without behavioral disturbance","Unspecified dementia"
F039,1,F0391,"Unspecified dementia with behavioral disturbance","Unspecified dementia with behavioral disturbance","Unspecified dementia"
F04,,F04,"Amnestic disorder due to known physiological condition","Amnestic disorder due to known physiological condition","Amnestic disorder due to known physiological condition"
F05,,F05,"Delirium due to known physiological condition","Delirium due to known physiological condition","Delirium due to known physiological condition"
F06,0,F060,"Psychotic disorder w hallucin due to known physiol condition","Psychotic disorder with hallucinations due to known physiological condition","Other mental disorders due to known physiological condition"
F06,1,F061,"Catatonic disorder due to known physiological condition","Catatonic disorder due to known physiological condition","Other mental disorders due to known physiological condition"
F06,2,F062,"Psychotic disorder w delusions due to known physiol cond","Psychotic disorder with delusions due to known physiological condition","Other mental disorders due to known physiological condition"
F063,0,F0630,"Mood disorder due to known physiological condition, unsp","Mood disorder due to known physiological condition, unspecified","Mood disorder due to known physiological condition"
F063,1,F0631,"Mood disorder due to known physiol cond w depressv features","Mood disorder due to known physiological condition with depressive features","Mood disorder due to known physiological condition"
F063,2,F0632,"Mood disord d/t physiol cond w major depressive-like epsd","Mood disorder due to known physiological condition with major depressive-like episode","Mood disorder due to known physiological condition"
F063,3,F0633,"Mood disorder due to known physiol cond w manic features","Mood disorder due to known physiological condition with manic features","Mood disorder due to known physiological condition"
F063,4,F0634,"Mood disorder due to known physiol cond w mixed features","Mood disorder due to known physiological condition with mixed features","Mood disorder due to known physiological condition"
F064,,F064,"Anxiety disorder due to known physiological condition","Anxiety disorder due to known physiological condition","Anxiety disorder due to known physiological condition"
F068,,F068,"Oth mental disorders due to known physiological condition","Other specified mental disorders due to known physiological condition","Other specified mental disorders due to known physiological condition"
F07,0,F070,"Personality change due to known physiological condition","Personality change due to known physiological condition","Personality and behavioral disorders due to known physiological condition"
F078,1,F0781,"Postconcussional syndrome","Postconcussional syndrome","Other personality and behavioral disorders due to known physiological condition"
F078,9,F0789,"Oth personality & behavrl disord due to known physiol cond","Other personality and behavioral disorders due to known physiological condition","Other personality and behavioral disorders due to known physiological condition"
F079,,F079,"Unsp personality & behavrl disord due to known physiol cond","Unspecified personality and behavioral disorder due to known physiological condition","Unspecified personality and behavioral disorder due to known physiological condition"
F09,,F09,"Unsp mental disorder due to known physiological condition","Unspecified mental disorder due to known physiological condition","Unspecified mental disorder due to known physiological condition"
F101,0,F1010,"Alcohol abuse, uncomplicated","Alcohol abuse, uncomplicated","Alcohol abuse"
F101,1,F1011,"Alcohol abuse, in remission","Alcohol abuse, in remission","Alcohol abuse"
F1012,0,F10120,"Alcohol abuse with intoxication, uncomplicated","Alcohol abuse with intoxication, uncomplicated","Alcohol abuse with intoxication"
F1012,1,F10121,"Alcohol abuse with intoxication delirium","Alcohol abuse with intoxication delirium","Alcohol abuse with intoxication"
F1012,9,F10129,"Alcohol abuse with intoxication, unspecified","Alcohol abuse with intoxication, unspecified","Alcohol abuse with intoxication"
F1014,,F1014,"Alcohol abuse with alcohol-induced mood disorder","Alcohol abuse with alcohol-induced mood disorder","Alcohol abuse with alcohol-induced mood disorder"
F1015,0,F10150,"Alcohol abuse w alcoh-induce psychotic disorder w delusions","Alcohol abuse with alcohol-induced psychotic disorder with delusions","Alcohol abuse with alcohol-induced psychotic disorder"
F1015,1,F10151,"Alcohol abuse w alcoh-induce psychotic disorder w hallucin","Alcohol abuse with alcohol-induced psychotic disorder with hallucinations","Alcohol abuse with alcohol-induced psychotic disorder"
F1015,9,F10159,"Alcohol abuse with alcohol-induced psychotic disorder, unsp","Alcohol abuse with alcohol-induced psychotic disorder, unspecified","Alcohol abuse with alcohol-induced psychotic disorder"
F1018,0,F10180,"Alcohol abuse with alcohol-induced anxiety disorder","Alcohol abuse with alcohol-induced anxiety disorder","Alcohol abuse with other alcohol-induced disorders"
F1018,1,F10181,"Alcohol abuse with alcohol-induced sexual dysfunction","Alcohol abuse with alcohol-induced sexual dysfunction","Alcohol abuse with other alcohol-induced disorders"
F1018,2,F10182,"Alcohol abuse with alcohol-induced sleep disorder","Alcohol abuse with alcohol-induced sleep disorder","Alcohol abuse with other alcohol-induced disorders"
